pid,label,tipo_item,ancho,alto,fecha_inicio,fecha_fin,contexto,tipo_album,tipo_papel,numero_paginas,origen,descripcion
A1,Tuxedo Sam,Álbum,14.5,20.8,2009,2017,Colegio,Cuaderno encuadernación grapada,Papel bond rayado,102,"Regalo de Ana María Zea, recibido en la antigua casa de mi abuela, en la calle 85 con carrera 9 en Bogotá","Mi primer álbum. Cuaderno escolar rayado marca norma, tapa blanda y estética de Tuxedo Sam de Sanrio."
A2,Grafiti Babakid,Álbum,21.59,27.94,2017,s.f.,"Pregrado, Trabajo",Bitácora de dibujo argollada,Papel blanco satinado,122,Comprado en Panamericana de la carrera 15 con calle 72 en Bogotá,"Bitácora diseñada para dibujo con marcadores. Aparenta servir como papel de liberación sin serlo, pero tiene buen tamaño de hoja para stickers grandes y altas cantidades. Por Volcán Ediciones, portada diseñada por Babakid. El álbum (sus hojas y forma) ha sufrido por el volumen de stickers con relieve."
A3,Mimibara,Álbum,20.8,14.3,2025,s.f.,"Maestría, Trabajo",Libro de pegatinas reutilizable,Papel siliconado,82,Comprado en Miniso del parque de la 93 en Bogotá,"Cuaderno con temática de carpincho pensado para permitir pegar y despegar stickers. Portadas con efecto holográfico. Se siente algo pequeño, pero el material de las hojas es el sueño del colecionista."
